#C  Rx    Ry       FPS_MEAN                    VAR                  ST_DEV                  ST_ERR     
1   400   300   70.3658630000             .0063162056            .0794745594             .0561969998
2   400   300   36.8845930000             .0023394168            .0483675180             .0342009999
